gene,annot
Acropora_028488,helix loop helix domain
Acropora_028497,fibroblast growth factor-activated receptor activity
Acropora_028504,fibroblast growth factor-activated receptor activity
Acropora_028514,regulation of chemokine (C-C motif) ligand 2 secretion
Acropora_028516,kinetochore assembly
Acropora_028517,DNA repair protein complementing XP-C cells
Acropora_028525,NA
Acropora_028531,NA
Acropora_028543,NA
Acropora_028627,NA
Acropora_028639,phosphatidylinositol binding
Acropora_028713,Dehydratase family
Acropora_028802,enzyme 2
Acropora_028820,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
Acropora_028849,Monoamine oxidase
Acropora_028850,NA
Acropora_028893,NA
Acropora_028926,"TBC1 domain family, member 25"
Acropora_028994,NA
Acropora_029098,homophilic cell adhesion via plasma membrane adhesion molecules
Acropora_029215,NA
Acropora_029364,Sulfotransferase domain
Acropora_029367,hydrolase activity
Acropora_029432,CUB domain-containing protein 2
Acropora_029501,Potential Monad-binding region of RPAP3
Acropora_029513,GABA-A receptor activity
Acropora_029514,Belongs to the ligand-gated ion channel (TC 1.A.9) family
Acropora_029516,Belongs to the ligand-gated ion channel (TC 1.A.9) family
Acropora_029524,NA
Acropora_029551,N-succinyltransferase activity
Acropora_029558,reductase B3
Acropora_029565,26s proteasome non-ATPase regulatory subunit
Acropora_029597,NA
Acropora_029598,biological adhesion
Acropora_029599,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process
Acropora_029602,heme binding
Acropora_029604,heme binding
Acropora_029605,heme binding
Acropora_029627,NA
Acropora_029631,NA
Acropora_029683,purine-rich negative regulatory element binding
Acropora_029687,sequence-specific DNA binding
Acropora_029718,NA
Acropora_029735,"Filamin C, gamma"
Acropora_029739,Transketolase
Acropora_029747,intein-mediated protein splicing
Acropora_029756,Belongs to the eukaryotic ribosomal protein eL20 family
Acropora_029775,NA
Acropora_029778,cilium movement involved in cell motility
Acropora_029783,NA
Acropora_029799,Transmembrane protein 43
Acropora_029807,G-protein coupled receptor activity
Acropora_029821,regulation of ARF protein signal transduction
Acropora_029830,Cysteine-rich with EGF-like
Acropora_029834,NA
Acropora_029849,intraflagellar transport
Acropora_029869,Spindle assembly abnormal protein 6 homolog
Acropora_029885,Calponin homology domain
Acropora_029886,protein autoubiquitination
Acropora_029888,Transforming growth  factor-beta (TGF-beta) family
Acropora_029897,Belongs to the AB hydrolase superfamily. Lipase family
Acropora_029904,positive regulation of Wnt protein secretion
Acropora_029912,"DIRAS family, GTP-binding Ras-like"
Acropora_029914,NA
Acropora_029924,zinc finger
Acropora_029962,NA
Acropora_029965,Belongs to the AB hydrolase superfamily. Lipase family
Acropora_029983,Potassium channel subfamily K member
Acropora_029987,alcohol dehydrogenase (NADP+) activity
Acropora_029997,NA
Acropora_030012,Leucine rich repeat
Acropora_030014,neurotrophin receptor activity
Acropora_030028,regulation of protein ADP-ribosylation
Acropora_030092,NA
Acropora_030107,regulation of secretory granule organization
Acropora_030110,structural constituent of cuticle
Acropora_030114,-
Acropora_030125,NA
Acropora_030131,NADP-retinol dehydrogenase activity
Acropora_030142,NA
Acropora_030145,NA
Acropora_030154,NA
Acropora_030307,NA
Acropora_030352,NA
Acropora_030569,NA
Acropora_030571,ubiquitin-like protein ligase activity
Acropora_030631,NA
Acropora_030680,"Protein tyrosine phosphatase, receptor type"
Acropora_030826,NA
Acropora_030919,NA
Acropora_030931,GIPC PDZ domain containing family member
Acropora_030966,NA
Acropora_030967,NA
Acropora_030972,Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process
Acropora_030986,NA
Acropora_030996,NA
Acropora_031035,NA
Acropora_031044,NA
Acropora_031113,NA
Acropora_031118,Peroxiredoxin
Acropora_031161,NA
Acropora_031195,Coiled-coil domain-containing protein 24 family
Acropora_031212,peroxisomal long-chain fatty acid import
Acropora_031219,regulation of transcription by RNA polymerase III
Acropora_031233,Centromere protein C
Acropora_031245,Mycolic acid cyclopropane synthetase
Acropora_031252,Belongs to the thioredoxin family
Acropora_031254,acidic dipeptidase
Acropora_031256,Structural maintenance of chromosomes
Acropora_031257,Structural maintenance of chromosomes
Acropora_031270,NA
Acropora_031272,NA
Acropora_031294,common myeloid progenitor cell proliferation
Acropora_031303,NA
Acropora_031315,centriole-centriole cohesion
Acropora_031356,Chromosome 19 open reading frame 44
Acropora_031373,NA
Acropora_031416,NA
Acropora_031449,peptide antigen assembly with MHC class I protein complex
Acropora_031453,positive regulation of aldosterone biosynthetic process
Acropora_031491,NA
Acropora_031563,NA
Acropora_031596,isomerase B
Acropora_031687,NA
Acropora_031799,NA
Acropora_031857,aminopeptidase activity
Acropora_031859,NA
Acropora_031863,NA
Acropora_031913,Belongs to the AAA ATPase family
Acropora_032133,NA
Acropora_032187,NA
Acropora_032206,protein localization to pericentriolar material
Acropora_032221,NA
Acropora_032293,NA
Acropora_032304,Tetraspanin-7
Acropora_032367,progesterone receptor signaling pathway
Acropora_032601,intracellular protein transport
Acropora_032673,NA
Acropora_032683,NA
Acropora_032818,NA
Acropora_032823,NA
Acropora_032845,regulation of sodium ion transport
Acropora_032976,NA
Acropora_033008,family member 26
Acropora_033099,BTB/POZ domain
Acropora_033111,NA
Acropora_033113,NA
Acropora_033162,NA
Acropora_033211,NA
Acropora_033253,regulation of mitotic cell cycle
Acropora_033256,NA
Acropora_033385,NA
Acropora_033541,NA
Acropora_033639,NA
Acropora_033660,NA
Acropora_033692,neuronal growth regulator 1
Acropora_033709,NA
Acropora_033768,carbohydrate binding
Acropora_033821,NA
Acropora_34080,NA
Acropora_34118,NA
Acropora_34197,protein kinase activator activity
Acropora_34231,Neurotransmitter-gated ion-channel ligand binding domain
Acropora_34237,ribonuclease III activity
Acropora_34240,negative regulation of DNA helicase activity
Acropora_34252,GABA-A receptor activity
Acropora_34253,Protein SSUH2 homolog
Acropora_34285,NA
Acropora_34299,replication fork processing
Acropora_34308,sphinganine-1-phosphate aldolase activity
Acropora_34311,NA
Acropora_34332,Belongs to the aldehyde dehydrogenase family
Acropora_34336,NA
Acropora_34344,Lactose-binding lectin l-2-like
Acropora_34415,Amine oxidase flavin-containing
Acropora_34437,NA
Acropora_34448,NA
Acropora_34457,NA
Acropora_34467,NA
Acropora_34469,metalloendopeptidase activity
Acropora_34506,NA
Acropora_34528,NA
Acropora_34530,Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
Acropora_34553,Nuclear RNA-splicing-associated protein
Acropora_34605,NA
